sku,date,units_sold
SKU-001-PANTRY,2024-08-16,190.7
SKU-001-PANTRY,2024-08-17,194.0
SKU-001-PANTRY,2024-08-18,226.5
SKU-001-PANTRY,2024-08-19,215.8
SKU-001-PANTRY,2024-08-20,228.4
SKU-001-PANTRY,2024-08-21,205.7
SKU-001-PANTRY,2024-08-22,169.1
SKU-001-PANTRY,2024-08-23,170.8
SKU-001-PANTRY,2024-08-24,192.0
SKU-001-PANTRY,2024-08-25,207.3
SKU-001-PANTRY,2024-08-26,237.9
SKU-001-PANTRY,2024-08-27,219.0
SKU-001-PANTRY,2024-08-28,211.4
SKU-001-PANTRY,2024-08-29,191.3
SKU-001-PANTRY,2024-08-30,175.8
SKU-001-PANTRY,2024-08-31,188.2
SKU-001-PANTRY,2024-09-01,200.0
SKU-001-PANTRY,2024-09-02,212.0
SKU-001-PANTRY,2024-09-03,203.5
SKU-001-PANTRY,2024-09-04,195.9
SKU-001-PANTRY,2024-09-05,162.7
SKU-001-PANTRY,2024-09-06,172.2
SKU-001-PANTRY,2024-09-07,189.0
SKU-001-PANTRY,2024-09-08,201.6
SKU-001-PANTRY,2024-09-09,215.5
SKU-001-PANTRY,2024-09-10,226.6
SKU-001-PANTRY,2024-09-11,207.2
SKU-001-PANTRY,2024-09-12,160.1
SKU-001-PANTRY,2024-09-13,165.1
SKU-001-PANTRY,2024-09-14,178.3
SKU-001-PANTRY,2024-09-15,200.4
SKU-001-PANTRY,2024-09-16,232.3
SKU-001-PANTRY,2024-09-17,213.6
SKU-001-PANTRY,2024-09-18,199.2
SKU-001-PANTRY,2024-09-19,187.0
SKU-001-PANTRY,2024-09-20,158.3
SKU-001-PANTRY,2024-09-21,176.7
SKU-001-PANTRY,2024-09-22,200.4
SKU-001-PANTRY,2024-09-23,222.4
SKU-001-PANTRY,2024-09-24,200.5
SKU-001-PANTRY,2024-09-25,188.0
SKU-001-PANTRY,2024-09-26,175.9
SKU-001-PANTRY,2024-09-27,173.8
SKU-001-PANTRY,2024-09-28,180.6
SKU-001-PANTRY,2024-09-29,186.7
SKU-001-PANTRY,2024-09-30,187.8
SKU-001-PANTRY,2024-10-01,211.4
SKU-001-PANTRY,2024-10-02,182.1
SKU-001-PANTRY,2024-10-03,147.0
SKU-001-PANTRY,2024-10-04,150.2
SKU-001-PANTRY,2024-10-05,166.3
SKU-001-PANTRY,2024-10-06,172.5
SKU-001-PANTRY,2024-10-07,205.9
SKU-001-PANTRY,2024-10-08,185.0
SKU-001-PANTRY,2024-10-09,169.7
SKU-001-PANTRY,2024-10-10,163.7
SKU-001-PANTRY,2024-10-11,151.7
SKU-001-PANTRY,2024-10-12,174.9
SKU-001-PANTRY,2024-10-13,194.4
SKU-001-PANTRY,2024-10-14,200.0
SKU-001-PANTRY,2024-10-15,191.8
SKU-001-PANTRY,2024-10-16,192.3
SKU-001-PANTRY,2024-10-17,149.7
SKU-001-PANTRY,2024-10-18,169.3
SKU-001-PANTRY,2024-10-19,154.3
SKU-001-PANTRY,2024-10-20,195.1
SKU-001-PANTRY,2024-10-21,198.7
SKU-001-PANTRY,2024-10-22,179.5
SKU-001-PANTRY,2024-10-23,135.3
SKU-001-PANTRY,2024-10-24,168.0
SKU-001-PANTRY,2024-10-25,133.1
SKU-001-PANTRY,2024-10-26,151.0
SKU-001-PANTRY,2024-10-27,185.2
SKU-001-PANTRY,2024-10-28,194.7
SKU-001-PANTRY,2024-10-29,189.0
SKU-001-PANTRY,2024-10-30,161.5
SKU-001-PANTRY,2024-10-31,128.4
SKU-001-PANTRY,2024-11-01,154.9
SKU-001-PANTRY,2024-11-02,149.3
SKU-001-PANTRY,2024-11-03,183.9
SKU-001-PANTRY,2024-11-04,198.6
SKU-001-PANTRY,2024-11-05,197.6
SKU-001-PANTRY,2024-11-06,159.8
SKU-001-PANTRY,2024-11-07,140.6
SKU-001-PANTRY,2024-11-08,139.6
SKU-001-PANTRY,2024-11-09,136.0
SKU-001-PANTRY,2024-11-10,170.3
SKU-001-PANTRY,2024-11-11,177.8
SKU-001-PANTRY,2024-11-12,167.8
SKU-001-PANTRY,2024-11-13,162.7
SKU-001-PANTRY,2024-11-14,138.8
SKU-001-PANTRY,2024-11-15,160.0
SKU-001-PANTRY,2024-11-16,174.5
SKU-001-PANTRY,2024-11-17,155.3
SKU-001-PANTRY,2024-11-18,189.9
SKU-001-PANTRY,2024-11-19,168.3
SKU-001-PANTRY,2024-11-20,166.0
SKU-001-PANTRY,2024-11-21,143.2
SKU-001-PANTRY,2024-11-22,150.8
SKU-001-PANTRY,2024-11-23,159.2
SKU-001-PANTRY,2024-11-24,186.0
SKU-001-PANTRY,2024-11-25,183.9
SKU-001-PANTRY,2024-11-26,149.3
SKU-001-PANTRY,2024-11-27,144.3
SKU-001-PANTRY,2024-11-28,130.3
SKU-001-PANTRY,2024-11-29,133.1
SKU-001-PANTRY,2024-11-30,142.8
SKU-001-PANTRY,2024-12-01,195.9
SKU-001-PANTRY,2024-12-02,185.0
SKU-001-PANTRY,2024-12-03,194.6
SKU-001-PANTRY,2024-12-04,154.2
SKU-001-PANTRY,2024-12-05,160.2
SKU-001-PANTRY,2024-12-06,124.4
SKU-001-PANTRY,2024-12-07,162.0
SKU-001-PANTRY,2024-12-08,160.3
SKU-001-PANTRY,2024-12-09,192.4
SKU-001-PANTRY,2024-12-10,198.2
SKU-001-PANTRY,2024-12-11,138.8
SKU-001-PANTRY,2024-12-12,130.2
SKU-001-PANTRY,2024-12-13,142.1
SKU-001-PANTRY,2024-12-14,153.0
SKU-001-PANTRY,2024-12-15,160.3
SKU-001-PANTRY,2024-12-16,201.5
SKU-001-PANTRY,2024-12-17,180.4
SKU-001-PANTRY,2024-12-18,174.7
SKU-001-PANTRY,2024-12-19,145.2
SKU-001-PANTRY,2024-12-20,126.2
SKU-001-PANTRY,2024-12-21,150.4
SKU-001-PANTRY,2024-12-22,194.3
SKU-001-PANTRY,2024-12-23,172.1
SKU-001-PANTRY,2024-12-24,175.3
SKU-001-PANTRY,2024-12-25,167.5
SKU-001-PANTRY,2024-12-26,154.8
SKU-001-PANTRY,2024-12-27,151.3
SKU-001-PANTRY,2024-12-28,139.9
SKU-001-PANTRY,2024-12-29,204.3
SKU-001-PANTRY,2024-12-30,188.3
SKU-001-PANTRY,2024-12-31,182.7
SKU-001-PANTRY,2025-01-01,162.0
SKU-001-PANTRY,2025-01-02,141.6
SKU-001-PANTRY,2025-01-03,131.6
SKU-001-PANTRY,2025-01-04,155.5
SKU-001-PANTRY,2025-01-05,197.1
SKU-001-PANTRY,2025-01-06,175.9
SKU-001-PANTRY,2025-01-07,155.4
SKU-001-PANTRY,2025-01-08,170.6
SKU-001-PANTRY,2025-01-09,150.7
SKU-001-PANTRY,2025-01-10,154.2
SKU-001-PANTRY,2025-01-11,182.5
SKU-001-PANTRY,2025-01-12,174.9
SKU-001-PANTRY,2025-01-13,196.9
SKU-001-PANTRY,2025-01-14,193.2
SKU-001-PANTRY,2025-01-15,181.6
SKU-001-PANTRY,2025-01-16,161.6
SKU-001-PANTRY,2025-01-17,138.1
SKU-001-PANTRY,2025-01-18,148.0
SKU-001-PANTRY,2025-01-19,183.2
SKU-001-PANTRY,2025-01-20,178.3
SKU-001-PANTRY,2025-01-21,203.4
SKU-001-PANTRY,2025-01-22,165.1
SKU-001-PANTRY,2025-01-23,148.1
SKU-001-PANTRY,2025-01-24,140.6
SKU-001-PANTRY,2025-01-25,186.0
SKU-001-PANTRY,2025-01-26,193.1
SKU-001-PANTRY,2025-01-27,196.0
SKU-001-PANTRY,2025-01-28,200.8
SKU-001-PANTRY,2025-01-29,172.2
SKU-001-PANTRY,2025-01-30,162.9
SKU-001-PANTRY,2025-01-31,170.6
SKU-001-PANTRY,2025-02-01,168.1
SKU-001-PANTRY,2025-02-02,199.4
SKU-001-PANTRY,2025-02-03,210.3
SKU-001-PANTRY,2025-02-04,210.7
SKU-001-PANTRY,2025-02-05,184.0
SKU-001-PANTRY,2025-02-06,160.0
SKU-001-PANTRY,2025-02-07,150.9
SKU-001-PANTRY,2025-02-08,178.7
SKU-001-PANTRY,2025-02-09,184.6
SKU-001-PANTRY,2025-02-10,216.3
SKU-001-PANTRY,2025-02-11,201.8
SKU-001-PANTRY,2025-02-12,187.5
SKU-001-PANTRY,2025-02-13,157.4
SKU-001-PANTRY,2025-02-14,153.0
SKU-001-PANTRY,2025-02-15,168.3
SKU-001-PANTRY,2025-02-16,214.6
SKU-001-PANTRY,2025-02-17,210.0
SKU-001-PANTRY,2025-02-18,202.5
SKU-001-PANTRY,2025-02-19,163.6
SKU-001-PANTRY,2025-02-20,167.2
SKU-001-PANTRY,2025-02-21,125.4
SKU-001-PANTRY,2025-02-22,199.9
SKU-001-PANTRY,2025-02-23,202.7
SKU-001-PANTRY,2025-02-24,217.3
SKU-001-PANTRY,2025-02-25,192.5
SKU-001-PANTRY,2025-02-26,176.4
SKU-001-PANTRY,2025-02-27,179.5
SKU-001-PANTRY,2025-02-28,168.9
SKU-001-PANTRY,2025-03-01,193.1
SKU-001-PANTRY,2025-03-02,225.3
SKU-001-PANTRY,2025-03-03,229.4
SKU-001-PANTRY,2025-03-04,191.3
SKU-001-PANTRY,2025-03-05,182.2
SKU-001-PANTRY,2025-03-06,163.2
SKU-001-PANTRY,2025-03-07,165.0
SKU-001-PANTRY,2025-03-08,167.6
SKU-001-PANTRY,2025-03-09,190.0
SKU-001-PANTRY,2025-03-10,217.1
SKU-001-PANTRY,2025-03-11,211.5
SKU-001-PANTRY,2025-03-12,204.8
SKU-001-PANTRY,2025-03-13,177.5
SKU-001-PANTRY,2025-03-14,197.5
SKU-001-PANTRY,2025-03-15,175.2
SKU-001-PANTRY,2025-03-16,202.5
SKU-001-PANTRY,2025-03-17,233.6
SKU-001-PANTRY,2025-03-18,219.9
SKU-001-PANTRY,2025-03-19,191.2
SKU-001-PANTRY,2025-03-20,195.1
SKU-001-PANTRY,2025-03-21,198.0
SKU-001-PANTRY,2025-03-22,217.3
SKU-001-PANTRY,2025-03-23,218.9
SKU-001-PANTRY,2025-03-24,235.0
SKU-001-PANTRY,2025-03-25,230.4
SKU-001-PANTRY,2025-03-26,208.3
SKU-001-PANTRY,2025-03-27,202.6
SKU-001-PANTRY,2025-03-28,183.5
SKU-001-PANTRY,2025-03-29,210.5
SKU-001-PANTRY,2025-03-30,201.5
SKU-001-PANTRY,2025-03-31,248.5
SKU-001-PANTRY,2025-04-01,251.7
SKU-001-PANTRY,2025-04-02,211.6
SKU-001-PANTRY,2025-04-03,207.1
SKU-001-PANTRY,2025-04-04,173.8
SKU-001-PANTRY,2025-04-05,206.3
SKU-001-PANTRY,2025-04-06,213.8
SKU-001-PANTRY,2025-04-07,247.5
SKU-001-PANTRY,2025-04-08,242.5
SKU-001-PANTRY,2025-04-09,199.6
SKU-001-PANTRY,2025-04-10,188.6
SKU-001-PANTRY,2025-04-11,190.8
SKU-001-PANTRY,2025-04-12,243.4
SKU-001-PANTRY,2025-04-13,235.5
SKU-001-PANTRY,2025-04-14,249.1
SKU-001-PANTRY,2025-04-15,244.6
SKU-001-PANTRY,2025-04-16,223.6
SKU-001-PANTRY,2025-04-17,199.8
SKU-001-PANTRY,2025-04-18,185.7
SKU-001-PANTRY,2025-04-19,210.0
SKU-001-PANTRY,2025-04-20,259.7
SKU-001-PANTRY,2025-04-21,254.5
SKU-001-PANTRY,2025-04-22,239.4
SKU-001-PANTRY,2025-04-23,207.4
SKU-001-PANTRY,2025-04-24,205.6
SKU-001-PANTRY,2025-04-25,205.6
SKU-001-PANTRY,2025-04-26,213.8
SKU-001-PANTRY,2025-04-27,254.3
SKU-001-PANTRY,2025-04-28,247.7
SKU-001-PANTRY,2025-04-29,245.2
SKU-001-PANTRY,2025-04-30,237.0
SKU-001-PANTRY,2025-05-01,212.2
SKU-001-PANTRY,2025-05-02,221.9
SKU-001-PANTRY,2025-05-03,222.0
SKU-001-PANTRY,2025-05-04,241.4
SKU-001-PANTRY,2025-05-05,263.4
SKU-001-PANTRY,2025-05-06,252.8
SKU-001-PANTRY,2025-05-07,244.1
SKU-001-PANTRY,2025-05-08,217.2
SKU-001-PANTRY,2025-05-09,210.9
SKU-001-PANTRY,2025-05-10,232.9
SKU-001-PANTRY,2025-05-11,257.2
SKU-001-PANTRY,2025-05-12,247.0
SKU-001-PANTRY,2025-05-13,251.0
SKU-001-PANTRY,2025-05-14,228.3
SKU-001-PANTRY,2025-05-15,229.2
SKU-001-PANTRY,2025-05-16,207.7
SKU-001-PANTRY,2025-05-17,242.6
SKU-001-PANTRY,2025-05-18,236.4
SKU-001-PANTRY,2025-05-19,261.9
SKU-001-PANTRY,2025-05-20,267.7
SKU-001-PANTRY,2025-05-21,231.2
SKU-001-PANTRY,2025-05-22,230.6
SKU-001-PANTRY,2025-05-23,191.1
SKU-001-PANTRY,2025-05-24,232.0
SKU-001-PANTRY,2025-05-25,255.2
SKU-001-PANTRY,2025-05-26,262.8
SKU-001-PANTRY,2025-05-27,238.4
SKU-001-PANTRY,2025-05-28,243.9
SKU-001-PANTRY,2025-05-29,190.3
SKU-001-PANTRY,2025-05-30,228.2
SKU-001-PANTRY,2025-05-31,236.5
SKU-001-PANTRY,2025-06-01,266.4
SKU-001-PANTRY,2025-06-02,262.4
SKU-001-PANTRY,2025-06-03,244.3
SKU-001-PANTRY,2025-06-04,230.8
SKU-001-PANTRY,2025-06-05,213.6
SKU-001-PANTRY,2025-06-06,225.0
SKU-001-PANTRY,2025-06-07,230.1
SKU-001-PANTRY,2025-06-08,260.3
SKU-001-PANTRY,2025-06-09,272.0
SKU-001-PANTRY,2025-06-10,275.3
SKU-001-PANTRY,2025-06-11,213.7
SKU-001-PANTRY,2025-06-12,214.9
SKU-001-PANTRY,2025-06-13,226.5
SKU-001-PANTRY,2025-06-14,242.5
SKU-001-PANTRY,2025-06-15,249.0
SKU-001-PANTRY,2025-06-16,263.3
SKU-001-PANTRY,2025-06-17,257.3
SKU-001-PANTRY,2025-06-18,239.3
SKU-001-PANTRY,2025-06-19,213.0
SKU-001-PANTRY,2025-06-20,210.5
SKU-001-PANTRY,2025-06-21,220.7
SKU-001-PANTRY,2025-06-22,251.0
SKU-001-PANTRY,2025-06-23,282.9
SKU-001-PANTRY,2025-06-24,246.8
SKU-001-PANTRY,2025-06-25,248.9
SKU-001-PANTRY,2025-06-26,242.6
SKU-001-PANTRY,2025-06-27,220.2
SKU-001-PANTRY,2025-06-28,261.9
SKU-001-PANTRY,2025-06-29,253.2
SKU-001-PANTRY,2025-06-30,285.6
SKU-001-PANTRY,2025-07-01,256.9
SKU-001-PANTRY,2025-07-02,222.0
SKU-001-PANTRY,2025-07-03,222.7
SKU-001-PANTRY,2025-07-04,239.4
SKU-001-PANTRY,2025-07-05,225.5
SKU-001-PANTRY,2025-07-06,259.6
SKU-001-PANTRY,2025-07-07,252.5
SKU-001-PANTRY,2025-07-08,245.6
SKU-001-PANTRY,2025-07-09,240.7
SKU-001-PANTRY,2025-07-10,214.9
SKU-001-PANTRY,2025-07-11,222.1
SKU-001-PANTRY,2025-07-12,246.3
SKU-001-PANTRY,2025-07-13,238.1
SKU-001-PANTRY,2025-07-14,254.5
SKU-001-PANTRY,2025-07-15,255.0
SKU-001-PANTRY,2025-07-16,261.2
SKU-001-PANTRY,2025-07-17,211.4
SKU-001-PANTRY,2025-07-18,207.7
SKU-001-PANTRY,2025-07-19,234.4
SKU-001-PANTRY,2025-07-20,275.6
SKU-001-PANTRY,2025-07-21,253.8
SKU-001-PANTRY,2025-07-22,248.7
SKU-001-PANTRY,2025-07-23,231.8
SKU-001-PANTRY,2025-07-24,222.2
SKU-001-PANTRY,2025-07-25,237.4
SKU-001-PANTRY,2025-07-26,211.9
SKU-001-PANTRY,2025-07-27,228.0
SKU-001-PANTRY,2025-07-28,260.2
SKU-001-PANTRY,2025-07-29,256.4
SKU-001-PANTRY,2025-07-30,202.1
SKU-001-PANTRY,2025-07-31,203.2
SKU-001-PANTRY,2025-08-01,220.2
SKU-001-PANTRY,2025-08-02,217.9
SKU-001-PANTRY,2025-08-03,251.1
SKU-001-PANTRY,2025-08-04,257.7
SKU-001-PANTRY,2025-08-05,255.0
SKU-001-PANTRY,2025-08-06,231.2
SKU-001-PANTRY,2025-08-07,210.8
SKU-001-PANTRY,2025-08-08,220.7
SKU-001-PANTRY,2025-08-09,214.5
SKU-001-PANTRY,2025-08-10,243.7
SKU-001-PANTRY,2025-08-11,266.1
SKU-001-PANTRY,2025-08-12,237.4
SKU-001-PANTRY,2025-08-13,218.4
SKU-001-PANTRY,2025-08-14,195.5
SKU-001-PANTRY,2025-08-15,191.2
SKU-001-PANTRY,2025-08-16,242.3
SKU-001-PANTRY,2025-08-17,244.6
SKU-001-PANTRY,2025-08-18,271.7
SKU-001-PANTRY,2025-08-19,249.5
SKU-001-PANTRY,2025-08-20,220.4
SKU-001-PANTRY,2025-08-21,197.7
SKU-001-PANTRY,2025-08-22,202.2
SKU-001-PANTRY,2025-08-23,213.9
SKU-001-PANTRY,2025-08-24,246.3
SKU-001-PANTRY,2025-08-25,235.1
SKU-001-PANTRY,2025-08-26,239.1
SKU-001-PANTRY,2025-08-27,221.3
SKU-001-PANTRY,2025-08-28,194.6
SKU-001-PANTRY,2025-08-29,192.5
